sokólski , 2011
stalowowolski , 1818
starachowicki , 2611
stargardzki , 3214
starogardzki , 2213
staszowski , 2612
strzelecki , 1611
strzyżowski , 1819
suski , 1215
suwalski , 2012
szamotulski , 3024
szczecinecki , 3215
szczycieński , 2817
sztumski , 2216
szydłowiecki , 1430
śremski , 3026
świdwiński , 3216
tarnobrzeski , 1820
tarnogórski , 2413
tarnowski , 1216
tatrzański , 1217
tczewski , 2214
turecki , 3027
tyski , 2414
wadowicki , 1218
wałecki , 3217
wągrowiecki , 3028
wejherowski , 2215
węgorzewski , 2819
węgrowski , 1433
wielicki , 1219
wieluński , 1017
wieruszowski , 1018
włoszczowski , 2613
wodzisławski , 2415
wolsztyński , 3029
wołomiński , 1434
wrzesiński , 3030
wysokomazowiecki , 2013
wyszkowski , 1435
zambrowski , 2014
zawierciański , 2416
zduńskowolski , 1019
zgierski , 1020
złotowski , 3031
zwoleński , 1436
żuromiński , 1437
żyrardowski , 1438
żywiecki , 2417
m. Białystok , 2061
m. Bielsko-Biała , 2461
m. Bytom , 2462
m. Chorzów , 2463
m. Częstochowa , 2464
m. Dąbrowa Górnicza , 2465
m. Elbląg , 2861
m. Gdańsk , 2261
m. Gdynia , 2262
m. Gliwice , 2466
m. Jastrzębie-Zdrój , 2467
m. Jaworzno , 2468
m. Kalisz , 3061
m. Katowice , 2469
m. Kielce , 2661
m. Konin , 3062
m. Koszalin , 3261
m. Kraków , 1261
m. Krosno , 1861
m. Leszno , 3063
m. Łomża , 2062
m. Łódź , 1061
m. Mysłowice , 2470
m. Nowy Sącz , 1262
m. Olsztyn , 2862
m. Opole , 1661
m. Ostrołęka , 1461
m. Piekary Śląskie , 2471
m. Piotrków Trybunalski , 1062
m. Płock , 1462
m. Poznań , 3064
m. Przemyśl , 1862
m. Radom , 1463
m. Ruda Śląska , 2472
m. Rybnik , 2473
m. Rzeszów , 1863
m. Siedlce , 1464
m. Siemianowice Śląskie , 2474
m. Skierniewice , 1063
m. Słupsk , 2263
m. Sopot , 2264
m. Sosnowiec , 2475
m. Suwałki , 2063
m. Szczecin , 3262
m. Świętochłowice , 2476
m. Świnoujście , 3263
m. Tarnobrzeg , 1864
m. Tarnów , 1263
m. Tychy , 2477
m. Warszawa , 1465
m. Zabrze , 2478
m. Żory , 2479
bielski (podlaski) , 2003
bielski (śląski) , 2402
brzeski (małopolski) , 1202
brzeski (opolski) , 1601
grodziski (mazowiecki) , 1405
grodziski (wielkopolski) , 3005
krośnieński (podkarpacki) , 1807
nowodworski (gdański) , 2210
nowodworski (mazowiecki) , 1414
opolski (śląski) , 1609
ostrowski (mazowiecki) , 1416
ostrowski (wielkopolski) , 3017
średzki (wielkopolski) , 3025
tomaszowski (mazowiecki) , 1016
warszawski zachodni     , 1432
łódzki wschodni         , 1006
